,antecedents,consequents,conviction
1074,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Staple envelope,1.4009779951100243
184,Hoover Portapower Portable Vacuum,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",2.963325183374083
193,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Belkin 5 Outlet SurgeMaster Power Centers,2.963325183374083
192,Plantronics Audio 995 Wireless Stereo Headset,"SAFCO Commercial Wire Shelving, Black",2.963325183374083
188,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red","Global Armless Task Chair, Royal Blue",2.963325183374083
267,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Case Logic 2.4GHz Wireless Keyboard,2.9559902200488994
187,"Dual Level, Single-Width Filing Carts",Digium D40 VoIP phone,2.963325183374083
186,"Acco Banker's Clasps, 5 3/4""-Long",Polycom VVX 310 VoIP phone,2.963325183374083
185,Peel & Seel Envelopes,"Avery Durable Plastic 1"" Binders",2.963325183374083
189,Peel & Seel Envelopes,Eldon Fold 'N Roll Cart System,2.963325183374083
183,Apple iPhone 5,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",2.963325183374083
398,Apple iPhone 5,"Situations Contoured Folding Chairs, 4/Set",2.948655256723716
400,Apple iPhone 5,High-Back Leather Manager's Chair,2.948655256723716
301,"Global Wood Trimmed Manager's Task Chair, Khaki",Polycom SoundPoint Pro SE-225 Corded phone,1.650366748166259
182,Hon Non-Folding Utility Tables,Recycled Easel Ring Binders,2.963325183374083
181,Space Solutions HD Industrial Steel Shelving.,Luxo Economy Swing Arm Lamp,1.6544417277913608
180,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",1.6544417277913608
602,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,"Eldon Expressions Wood Desk Accessories, Oak",1.6422167889160553
179,Fiskars Softgrip Scissors,Gear Head AU3700S Headset,1.6544417277913608
178,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,1.6544417277913608
506,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,Acme Value Line Scissors,1.646291768541157
177,Wilson Jones Active Use Binders,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",1.6544417277913608
516,Wilson Jones Active Use Binders,GBC Recycled VeloBinder Covers,1.646291768541157
693,Wilson Jones Active Use Binders,Logitech G19 Programmable Gaming Keyboard,1.6381418092909532
701,Wilson Jones Active Use Binders,Staple-based wall hangings,1.6381418092909532
194,AT&T SB67148 SynJ,Ibico EB-19 Dual Function Manual Binding System,2.963325183374083
195,Insertable Tab Indexes For Data Binders,Cardinal Holdit Business Card Pockets,2.963325183374083
196,Xerox 1887,"Personal Folder Holder, Ebony",2.963325183374083
197,Gear Head AU3700S Headset,Fiskars Softgrip Scissors,2.963325183374083
198,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,2.963325183374083
199,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,2.963325183374083
200,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Wilson Jones Active Use Binders,2.963325183374083
396,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Staple-based wall hangings,2.948655256723716
201,Luxo Economy Swing Arm Lamp,Space Solutions HD Industrial Steel Shelving.,2.963325183374083
202,Avery Durable Poly Binders,Airmail Envelopes,1.980440097799511
203,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Xerox 1893,1.980440097799511
204,Project Tote Personal File,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",1.980440097799511
216,Project Tote Personal File,Bevis 44 x 96 Conference Tables,1.980440097799511
205,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",Project Tote Personal File,1.980440097799511
206,Plantronics Audio 478 Stereo USB Headset,JM Magazine Binder,1.980440097799511
303,Plantronics Audio 478 Stereo USB Headset,Newell 32,1.9755501222493888
207,JM Magazine Binder,Plantronics Audio 478 Stereo USB Headset,1.980440097799511
208,Xerox 1893,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",1.980440097799511
345,Xerox 1893,Zebra Zazzle Fluorescent Highlighters,1.9755501222493888
209,Ibico Plastic and Wire Spiral Binding Combs,Global Comet Stacking Arm Chair,1.980440097799511
572,Ibico Plastic and Wire Spiral Binding Combs,Carina Double Wide Media Storage Towers in Natural & Black,1.9657701711491442
812,Ibico Plastic and Wire Spiral Binding Combs,Avery Non-Stick Binders,1.9462102689486553
210,Global Comet Stacking Arm Chair,Ibico Plastic and Wire Spiral Binding Combs,1.980440097799511
567,Global Comet Stacking Arm Chair,Carina Double Wide Media Storage Towers in Natural & Black,1.9657701711491442
815,Global Comet Stacking Arm Chair,Avery Non-Stick Binders,1.9462102689486553
176,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",Apple iPhone 5,1.6544417277913608
699,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",High-Back Leather Manager's Chair,1.6381418092909532
175,Belkin 5 Outlet SurgeMaster Power Centers,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",1.6544417277913608
174,Recycled Easel Ring Binders,Hon Non-Folding Utility Tables,1.6544417277913608
510,Recycled Easel Ring Binders,Belkin Premiere Surge Master II 8-outlet surge protector,1.646291768541157
531,Recycled Easel Ring Binders,GBC Recycled VeloBinder Covers,1.646291768541157
157,"6"" Cubicle Wall Clock, Black",Carina Double Wide Media Storage Towers in Natural & Black,inf
140,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Hon Every-Day Chair Series Swivel Task Chairs,1.4926650366748164
