,antecedents,consequents,conviction
301,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",Staples,1.5466101694915255
298,Memorex Micro Travel Drive 8 GB,Staples,1.5466101694915255
81,Convenience Packs of Business Envelopes,PayAnywhere Card Reader,2.961864406779661
80,PayAnywhere Card Reader,Convenience Packs of Business Envelopes,2.961864406779661
79,"Companion Letter/Legal File, Black",Fellowes Bankers Box Recycled Super Stor/Drawer,2.961864406779661
78,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",Xerox 1911,2.961864406779661
77,Xerox 1911,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",2.961864406779661
266,Xerox 1911,Staple envelope,2.8093220338983045
76,Fellowes Bankers Box Recycled Super Stor/Drawer,"Companion Letter/Legal File, Black",2.961864406779661
75,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Wi-Ex zBoost YX540 Cellular Phone Signal Booster,2.961864406779661
74,Plantronics Audio 478 Stereo USB Headset,Logitech Mobile Speakerphone P710e - speaker phone,2.961864406779661
73,Newell 341,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",2.961864406779661
72,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Newell 341,2.961864406779661
105,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb","LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",2.949152542372881
71,Imation 30456 USB Flash Drive 8GB,Stacking Trays by OIC,2.961864406779661
70,Logitech Mobile Speakerphone P710e - speaker phone,Plantronics Audio 478 Stereo USB Headset,2.961864406779661
69,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Novimex Turbo Task Chair,2.961864406779661
68,Mitel MiVoice 5330e IP Phone,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",2.961864406779661
67,Stacking Trays by OIC,Imation 30456 USB Flash Drive 8GB,2.961864406779661
66,Novimex Turbo Task Chair,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,2.961864406779661
65,O'Sullivan 5-Shelf Heavy-Duty Bookcases,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",2.961864406779661
64,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",O'Sullivan 5-Shelf Heavy-Duty Bookcases,2.961864406779661
63,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",2.961864406779661
62,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",Mitel MiVoice 5330e IP Phone,2.961864406779661
61,Kingston Digital DataTraveler 16GB USB 2.0,"Fiskars 8"" Scissors, 2/Pack",1.9830508474576272
60,"Fiskars 8"" Scissors, 2/Pack",Kingston Digital DataTraveler 16GB USB 2.0,inf
59,KI Adjustable-Height Table,GBC DocuBind 300 Electric Binding Machine,inf
82,Hoover Upright Vacuum With Dirt Cup,Belkin F8E887 USB Wired Ergonomic Keyboard,2.961864406779661
83,Belkin F8E887 USB Wired Ergonomic Keyboard,Hoover Upright Vacuum With Dirt Cup,2.961864406779661
84,"Acco Six-Outlet Power Strip, 4' Cord Length",Poly Designer Cover & Back,1.652542372881356
97,Hon 4070 Series Pagoda Round Back Stacking Chairs,"Bevis Oval Conference Table, Walnut",1.9745762711864407
110,Staple magnet,"Boston School Pro Electric Pencil Sharpener, 1670",1.9745762711864407
130,Staple magnet,Xerox 220,1.9745762711864407
203,Staple magnet,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,1.957627118644068
109,Avery Reinforcements for Hole-Punch Pages,Global Executive Mid-Back Manager's Chair,1.9745762711864407
107,Global Executive Mid-Back Manager's Chair,Avery Reinforcements for Hole-Punch Pages,2.949152542372881
104,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite","GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",1.9745762711864407
103,Safco Commercial Shelving,Iceberg Mobile Mega Data/Printer Cart,2.949152542372881
102,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,Avery Hole Reinforcements,2.949152542372881
101,Xerox 1959,KeyTronic E03601U1 - Keyboard - Beige,2.949152542372881
100,Hon Olson Stacker Stools,Global Commerce Series Low-Back Swivel/Tilt Chairs,1.9745762711864407
99,Avery Hole Reinforcements,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,1.9745762711864407
98,"Bevis Oval Conference Table, Walnut",Hon 4070 Series Pagoda Round Back Stacking Chairs,2.949152542372881
96,Howard Miller Distant Time Traveler Alarm Clock,Pyle PMP37LED,2.949152542372881
108,Howard Miller Distant Time Traveler Alarm Clock,"Fellowes Twister Kit, Gray/Clear, 3/pkg",2.949152542372881
85,Poly Designer Cover & Back,"Acco Six-Outlet Power Strip, 4' Cord Length",inf
95,Pyle PMP37LED,Howard Miller Distant Time Traveler Alarm Clock,1.9745762711864407
135,Pyle PMP37LED,O'Sullivan Living Dimensions 2-Shelf Bookcases,1.9745762711864407
94,Avery Heavy-Duty EZD  Binder With Locking Rings,Staple remover,1.9745762711864407
93,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand","Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",1.9745762711864407
129,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Xerox 1972,1.9745762711864407
295,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Staples,1.8559322033898304
92,Staple remover,Avery Heavy-Duty EZD  Binder With Locking Rings,2.949152542372881
216,Staple remover,Wilson Jones Leather-Like Binders with DublLock Round Rings,2.911016949152542
91,Global Commerce Series Low-Back Swivel/Tilt Chairs,Hon Olson Stacker Stools,2.949152542372881
90,KeyTronic E03601U1 - Keyboard - Beige,Xerox 1959,1.9745762711864407
89,"GBC Standard Recycled Report Covers, Clear Plastic Sheets","GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",1.652542372881356
162,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Newell 348,1.6454802259887007
204,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Pressboard Hanging Data Binders for Unburst Sheets,1.6384180790960454
232,"GBC Standard Recycled Report Covers, Clear Plastic Sheets","Hot File 7-Pocket, Floor Stand",1.63135593220339
240,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Recycled Pressboard Report Cover with Reinforced Top Hinge,1.6242937853107344
88,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black","GBC Standard Recycled Report Covers, Clear Plastic Sheets",inf
87,netTALK DUO VoIP Telephone Service,Wilson Jones Custom Binder Spines & Labels,1.652542372881356
86,Wilson Jones Custom Binder Spines & Labels,netTALK DUO VoIP Telephone Service,inf
58,GBC DocuBind 300 Electric Binding Machine,KI Adjustable-Height Table,1.9830508474576272
57,Acco 6 Outlet Guardian Premium Surge Suppressor,GBC Twin Loop Wire Binding Elements,inf
56,"Permanent Self-Adhesive File Folder Labels for Typewriters, 1 1/8 x 3 1/2, White",Hon 4060 Series Tables,1.9830508474576272
120,"Permanent Self-Adhesive File Folder Labels for Typewriters, 1 1/8 x 3 1/2, White",Xerox 1883,1.9745762711864407
169,"Permanent Self-Adhesive File Folder Labels for Typewriters, 1 1/8 x 3 1/2, White",Eldon Wave Desk Accessories,1.9661016949152543
181,"Permanent Self-Adhesive File Folder Labels for Typewriters, 1 1/8 x 3 1/2, White",Logitech G602 Wireless Gaming Mouse,1.9661016949152543
12,"SAFCO Commercial Wire Shelving, 72h","Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",inf
248,"SAFCO Commercial Wire Shelving, 72h",Staples,inf
23,GBC Instant Report Kit,iOttie HLCRIO102 Car Mount,2.9745762711864403
21,Global Leather Executive Chair,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,inf
20,Hon 4060 Series Tables,Xerox 1883,inf
46,Hon 4060 Series Tables,"Permanent Self-Adhesive File Folder Labels for Typewriters, 1 1/8 x 3 1/2, White",inf
19,Xerox 1883,Hon 4060 Series Tables,2.9745762711864403
121,Xerox 1883,"Permanent Self-Adhesive File Folder Labels for Typewriters, 1 1/8 x 3 1/2, White",2.949152542372881
18,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Tyvek Side-Opening Peel & Seel Expanding Envelopes,2.9745762711864403
17,iOttie HLCRIO102 Car Mount,GBC Instant Report Kit,inf
16,Stiletto Hand Letter Openers,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,inf
15,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White","SAFCO Commercial Wire Shelving, 72h",2.9745762711864403
118,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White","Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",2.949152542372881
283,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",Staples,2.7838983050847452
14,Bestar Classic Bookcase,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,2.9745762711864403
