,Product Name,Sub-Category,Frequency
46,KI Conference Tables,Tables,0.001219016659894352
51,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Tables,0.001219016659894352
36,Chromcraft Rectangular Conference Tables,Tables,0.0008126777732629012
71,Bretford Rectangular Conference Table Tops,Tables,0.0008126777732629012
189,"Lesro Round Back Collection Coffee Table, End Table",Tables,0.0008126777732629012
72,"Bevis Oval Conference Table, Walnut",Tables,0.000609508329947176
63,Hon 4060 Series Tables,Tables,0.0004063388866314506
202,KI Adjustable-Height Table,Tables,0.0004063388866314506
146,"Elite 5"" Scissors",Supplies,0.0008126777732629012
23,Premier Automatic Letter Opener,Supplies,0.000609508329947176
29,Staple remover,Supplies,0.000609508329947176
43,Acme Tagit Stainless Steel Antibacterial Scissors,Supplies,0.0004063388866314506
139,Stiletto Hand Letter Openers,Supplies,0.0004063388866314506
157,"Fiskars 8"" Scissors, 2/Pack",Supplies,0.0004063388866314506
194,"Hot File 7-Pocket, Floor Stand",Storage,0.0010158472165786266
24,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Storage,0.0008126777732629012
39,"Fellowes Strictly Business Drawer File, Letter/Legal Size",Storage,0.0008126777732629012
53,Acco Perma 4000 Stacking Storage Drawers,Storage,0.0008126777732629012
58,Iceberg Mobile Mega Data/Printer Cart,Storage,0.0008126777732629012
74,SAFCO Boltless Steel Shelving,Storage,0.0008126777732629012
97,Staple magnet,Storage,0.0008126777732629012
180,Standard Rollaway File with Lock,Storage,0.0008126777732629012
183,Tennsco Commercial Shelving,Storage,0.0008126777732629012
1,"Eldon Base for stackable storage shelf, platinum",Storage,0.000609508329947176
2,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Storage,0.000609508329947176
22,Safco Commercial Shelving,Storage,0.000609508329947176
33,2300 Heavy-Duty Transfer File Systems by Perma,Storage,0.000609508329947176
49,Fellowes Stor/Drawer Steel Plus Storage Drawers,Storage,0.000609508329947176
91,"Companion Letter/Legal File, Black",Storage,0.000609508329947176
104,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",Storage,0.000609508329947176
134,Carina Double Wide Media Storage Towers in Natural & Black,Storage,0.000609508329947176
153,Eldon Portable Mobile Manager,Storage,0.000609508329947176
172,Fellowes Bankers Box Recycled Super Stor/Drawer,Storage,0.000609508329947176
89,"SAFCO Commercial Wire Shelving, 72h",Storage,0.0004063388866314506
4,netTALK DUO VoIP Telephone Service,Phones,0.0010158472165786266
108,Wilson Electronics DB Pro Signal Booster,Phones,0.0010158472165786266
67,Samsung Galaxy Note 2,Phones,0.0008126777732629012
73,Samsung Rugby III,Phones,0.0008126777732629012
110,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,Phones,0.0008126777732629012
