,antecedents,consequents,conviction
136,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Easy-staple paper,1.8378378378378377
36,Xerox 1951,Belkin 5 Outlet SurgeMaster Power Centers,inf
25,"Tenex File Box, Personal Filing Tote with Lid, Black","Sortfiler Multipurpose Personal File Organizer, Black",inf
26,Wilson Jones Century Plastic Molded Ring Binders,Lenovo 17-Key USB Numeric Keypad,2.959459459459459
28,Global Super Steno Chair,"Belkin 19"" Vented Equipment Shelf, Black",2.959459459459459
30,AT&T TR1909W,Hewlett Packard LaserJet 3310 Copier,inf
31,Hewlett Packard LaserJet 3310 Copier,AT&T TR1909W,2.959459459459459
32,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",4009 Highlighters by Sanford,inf
47,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","Global Stack Chair without Arms, Black",inf
33,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",Newell 350,2.959459459459459
34,Newell 350,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",inf
35,Belkin 5 Outlet SurgeMaster Power Centers,Xerox 1951,2.959459459459459
37,4009 Highlighters by Sanford,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",2.959459459459459
77,4009 Highlighters by Sanford,"Global Stack Chair without Arms, Black",2.918918918918919
105,4009 Highlighters by Sanford,Xerox 1881,2.858108108108108
134,"Acme 10"" Easy Grip Assistive Scissors",Easy-staple paper,1.8378378378378377
38,"Belkin 19"" Vented Equipment Shelf, Black",Global Super Steno Chair,inf
40,"Global Stack Chair without Arms, Black","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1.972972972972973
78,"Global Stack Chair without Arms, Black",4009 Highlighters by Sanford,1.9594594594594594
97,"Global Stack Chair without Arms, Black","Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",1.945945945945946
122,"Global Stack Chair without Arms, Black",Xerox 1881,1.9054054054054055
41,White Computer Printout Paper by Universal,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",inf
42,Advantus Map Pennant Flags and Round Head Tacks,Avery 49,inf
43,Avery 49,Advantus Map Pennant Flags and Round Head Tacks,1.972972972972973
44,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",White Computer Printout Paper by Universal,3.918918918918919
96,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red","Global Stack Chair without Arms, Black",1.945945945945946
45,Bretford Rectangular Conference Table Tops,Logitech diNovo Edge Keyboard,1.972972972972973
46,Logitech diNovo Edge Keyboard,Bretford Rectangular Conference Table Tops,inf
48,Wilson Jones Leather-Like Binders with DublLock Round Rings,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",2.939189189189189
56,Wilson Jones Leather-Like Binders with DublLock Round Rings,Xerox 1992,2.939189189189189
24,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H","Eldon Image Series Desk Accessories, Ebony",2.959459459459459
51,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Wilson Jones Leather-Like Binders with DublLock Round Rings,2.939189189189189
23,"Eldon Image Series Desk Accessories, Ebony","Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",inf
22,Staple-based wall hangings,Sharp 1540cs Digital Laser Copier,2.959459459459459
52,Staple-based wall hangings,Avery 478,2.939189189189189
21,Lenovo 17-Key USB Numeric Keypad,Wilson Jones Century Plastic Molded Ring Binders,inf
1,RCA Visys Integrated PBX 8-Line Router,"Crayola Anti Dust Chalk, 12/Pack",inf
2,Harmony Air Purifier,Bevis 36 x 72 Conference Tables,inf
3,Bevis 36 x 72 Conference Tables,Harmony Air Purifier,inf
4,GBC Twin Loop Wire Binding Elements,Square Credit Card Reader,inf
5,Ideal Clamps,Wilson Jones Easy Flow II Sheet Lifters,inf
6,Wilson Jones Easy Flow II Sheet Lifters,Ideal Clamps,inf
7,Square Credit Card Reader,GBC Twin Loop Wire Binding Elements,inf
8,Strathmore Photo Mount Cards,Logitech G600 MMO Gaming Mouse,inf
83,Strathmore Photo Mount Cards,Xerox 1881,inf
9,Logitech G600 MMO Gaming Mouse,Strathmore Photo Mount Cards,inf
84,Logitech G600 MMO Gaming Mouse,Xerox 1881,inf
10,LG Exalt,Xerox 1911,inf
11,Xerox 1911,LG Exalt,inf
12,AT&T 1080 Phone,Tops Wirebound Message Log Books,inf
29,AT&T 1080 Phone,Kensington Expert Mouse Optical USB Trackball for PC or Mac,inf
13,Tops Wirebound Message Log Books,AT&T 1080 Phone,inf
27,Tops Wirebound Message Log Books,Kensington Expert Mouse Optical USB Trackball for PC or Mac,inf
14,Newell Chalk Holder,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",inf
