,Product Name,Sub-Category,Frequency
31,KI Adjustable-Height Table,Tables,0.001219016659894352
4,Bretford Rectangular Conference Table Tops,Tables,0.0010158472165786266
19,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Tables,0.0008126777732629012
24,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",Tables,0.000609508329947176
74,Bevis 36 x 72 Conference Tables,Tables,0.0004063388866314506
8,"Acme 10"" Easy Grip Assistive Scissors",Supplies,0.0008126777732629012
45,"Sortfiler Multipurpose Personal File Organizer, Black",Storage,0.000609508329947176
52,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage,0.000609508329947176
21,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Storage,0.0004063388866314506
30,"Belkin 19"" Vented Equipment Shelf, Black",Storage,0.0004063388866314506
55,Adjustable Depth Letter/Legal Cart,Storage,0.0004063388866314506
64,Eldon Gobal File Keepers,Storage,0.0004063388866314506
86,"Tenex File Box, Personal Filing Tote with Lid, Black",Storage,0.0004063388866314506
25,Toshiba IPT2010-SD IP Telephone,Phones,0.0010158472165786266
28,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,Phones,0.000609508329947176
33,OtterBox Defender Series Case - Samsung Galaxy S4,Phones,0.000609508329947176
62,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,Phones,0.000609508329947176
2,AT&T TR1909W,Phones,0.0004063388866314506
10,Square Credit Card Reader,Phones,0.0004063388866314506
51,Jabra SPEAK 410,Phones,0.0004063388866314506
69,LG Exalt,Phones,0.0004063388866314506
72,AT&T 1080 Phone,Phones,0.0004063388866314506
88,RCA Visys Integrated PBX 8-Line Router,Phones,0.0004063388866314506
0,Easy-staple paper,Paper,0.002438033319788704
7,Xerox 1881,Paper,0.0016253555465258025
60,Xerox 226,Paper,0.0014221861032100772
14,Xerox 1916,Paper,0.0008126777732629012
66,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Paper,0.0008126777732629012
11,Xerox 1898,Paper,0.000609508329947176
29,White Computer Printout Paper by Universal,Paper,0.000609508329947176
77,Xerox 1992,Paper,0.000609508329947176
87,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",Paper,0.000609508329947176
43,Xerox 1911,Paper,0.0004063388866314506
47,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",Paper,0.0004063388866314506
48,Xerox 1951,Paper,0.0004063388866314506
57,Strathmore Photo Mount Cards,Paper,0.0004063388866314506
65,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Paper,0.0004063388866314506
91,Tops Wirebound Message Log Books,Paper,0.0004063388866314506
49,Avery 49,Labels,0.0008126777732629012
36,Avery 478,Labels,0.000609508329947176
26,Westinghouse Clip-On Gooseneck Lamps,Furnishings,0.0010158472165786266
37,Flat Face Poster Frame,Furnishings,0.0010158472165786266
5,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furnishings,0.000609508329947176
12,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furnishings,0.000609508329947176
42,Eldon Cleatmat Chair Mats for Medium Pile Carpets,Furnishings,0.000609508329947176
71,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",Furnishings,0.000609508329947176
73,Staple-based wall hangings,Furnishings,0.000609508329947176
85,"Eldon Image Series Desk Accessories, Ebony",Furnishings,0.0004063388866314506
35,Staples,Fasteners,0.0016253555465258025
44,Advantus Plastic Paper Clips,Fasteners,0.000609508329947176
53,Advantus Map Pennant Flags and Round Head Tacks,Fasteners,0.0004063388866314506
63,Ideal Clamps,Fasteners,0.0004063388866314506
23,Brown Kraft Recycled Envelopes,Envelopes,0.000609508329947176
39,Quality Park Security Envelopes,Envelopes,0.000609508329947176
59,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Envelopes,0.000609508329947176
80,Hewlett Packard LaserJet 3310 Copier,Copiers,0.000609508329947176
84,Sharp 1540cs Digital Laser Copier,Copiers,0.0004063388866314506
22,"Global Stack Chair without Arms, Black",Chairs,0.0008126777732629012
32,Global Super Steno Chair,Chairs,0.000609508329947176
78,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Chairs,0.000609508329947176
1,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Bookcases,0.0004063388866314506
20,Zipper Ring Binder Pockets,Binders,0.0010158472165786266
34,Ibico Plastic Spiral Binding Combs,Binders,0.0010158472165786266
15,Wilson Jones Century Plastic Molded Ring Binders,Binders,0.000609508329947176
16,Wilson Jones Leather-Like Binders with DublLock Round Rings,Binders,0.000609508329947176
38,GBC DocuBind P100 Manual Binding Machine,Binders,0.000609508329947176
