,Order ID,Order Date,Segment,State,City,Product Name,Category,Sub-Category,Sales
0,CA-2017-152156,08/11/2017,Consumer,Kentucky,Henderson,Bush Somerset Collection Bookcase,Furniture,Bookcases,261.96
1,CA-2017-152156,08/11/2017,Consumer,Kentucky,Henderson,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,731.94
2,CA-2017-138688,12/06/2017,Corporate,California,Los Angeles,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,14.62
3,US-2016-108966,11/10/2016,Consumer,Florida,Fort Lauderdale,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,957.5775
4,US-2016-108966,11/10/2016,Consumer,Florida,Fort Lauderdale,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,22.368
5,CA-2015-115812,09/06/2015,Consumer,California,Los Angeles,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,48.86
6,CA-2015-115812,09/06/2015,Consumer,California,Los Angeles,Newell 322,Office Supplies,Art,7.28
7,CA-2015-115812,09/06/2015,Consumer,California,Los Angeles,Mitel 5320 IP Phone VoIP phone,Technology,Phones,907.152
8,CA-2015-115812,09/06/2015,Consumer,California,Los Angeles,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,18.504
9,CA-2015-115812,09/06/2015,Consumer,California,Los Angeles,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,114.9
10,CA-2015-115812,09/06/2015,Consumer,California,Los Angeles,Chromcraft Rectangular Conference Tables,Furniture,Tables,1706.184
11,CA-2015-115812,09/06/2015,Consumer,California,Los Angeles,Konftel 250 Conference phone - Charcoal black,Technology,Phones,911.424
12,CA-2018-114412,15/04/2018,Consumer,North Carolina,Concord,Xerox 1967,Office Supplies,Paper,15.552
13,CA-2017-161389,05/12/2017,Consumer,Washington,Seattle,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,407.976
14,US-2016-118983,22/11/2016,Home Office,Texas,Fort Worth,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,68.81
15,US-2016-118983,22/11/2016,Home Office,Texas,Fort Worth,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,2.544
16,CA-2015-105893,11/11/2015,Consumer,Wisconsin,Madison,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,665.88
17,CA-2015-167164,13/05/2015,Consumer,Utah,West Jordan,Fellowes Super Stor/Drawer,Office Supplies,Storage,55.5
18,CA-2015-143336,27/08/2015,Consumer,California,San Francisco,Newell 341,Office Supplies,Art,8.56
19,CA-2015-143336,27/08/2015,Consumer,California,San Francisco,Cisco SPA 501G IP Phone,Technology,Phones,213.48
20,CA-2015-143336,27/08/2015,Consumer,California,San Francisco,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,22.72
21,CA-2017-137330,09/12/2017,Corporate,Nebraska,Fremont,Newell 318,Office Supplies,Art,19.46
22,CA-2017-137330,09/12/2017,Corporate,Nebraska,Fremont,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,60.34
23,US-2018-156909,16/07/2018,Consumer,Pennsylvania,Philadelphia,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,71.372
24,CA-2016-106320,25/09/2016,Consumer,Utah,Orem,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,1044.63
25,CA-2017-121755,16/01/2017,Consumer,California,Los Angeles,Wilson Jones Active Use Binders,Office Supplies,Binders,11.648
26,CA-2017-121755,16/01/2017,Consumer,California,Los Angeles,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,90.57
27,US-2016-150630,17/09/2016,Consumer,Pennsylvania,Philadelphia,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,3083.43
28,US-2016-150630,17/09/2016,Consumer,Pennsylvania,Philadelphia,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,9.618
29,US-2016-150630,17/09/2016,Consumer,Pennsylvania,Philadelphia,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,124.2
30,US-2016-150630,17/09/2016,Consumer,Pennsylvania,Philadelphia,Poly String Tie Envelopes,Office Supplies,Envelopes,3.264
31,US-2016-150630,17/09/2016,Consumer,Pennsylvania,Philadelphia,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,86.304
32,US-2016-150630,17/09/2016,Consumer,Pennsylvania,Philadelphia,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,6.858
33,US-2016-150630,17/09/2016,Consumer,Pennsylvania,Philadelphia,Lumber Crayons,Office Supplies,Art,15.76
